SampleID	FamilyID	Population	Gender
HG02142	VN086	KHV	female
HG02143	BB20	ACB	male
HG02144	BB20	ACB	female
HG02146	PEL39	PEL	male
HG02147	PEL39	PEL	female
HG02150	PEL40	PEL	male
HG02151	HG02151	CDX	female
HG02152	HG02152	CDX	female
HG02153	HG02153	CDX	female
HG02154	HG02154	CDX	female
HG02155	HG02155	CDX	female
HG02156	HG02156	CDX	female
HG02164	HG02164	CDX	female
HG02165	HG02165	CDX	female
HG02166	HG02166	CDX	female
HG02178	HG02178	CDX	female
HG02179	HG02179	CDX	female
HG02180	HG02180	CDX	female
HG02181	HG02181	CDX	female
HG02182	HG02182	CDX	female
HG02184	HG02184	CDX	female
HG02185	HG02185	CDX	female
HG02186	HG02186	CDX	female
HG02187	HG02187	CDX	female
HG02188	HG02188	CDX	female
HG02190	HG02190	CDX	female
HG02215	HG02215	GBR	female
HG02219	IBS055	IBS	male
HG02220	IBS056	IBS	female
HG02221	IBS056	IBS	male
HG02223	IBS057	IBS	female
HG02224	IBS057	IBS	male
HG02230	IBS059	IBS	female
HG02231	IBS059	IBS	male
HG02232	IBS060	IBS	female
HG02233	IBS060	IBS	male
HG02235	IBS061	IBS	female
HG02236	IBS061	IBS	male
HG02238	IBS062	IBS	male
HG02239	IBS062	IBS	female
HG02250	HG02250	CDX	male
HG02252	PEL41	PEL	female
HG02253	PEL41	PEL	male
HG02255	BB21	ACB	male
HG02256	BB21	ACB	female
HG02259	PEL42	PEL	male
HG02260	PEL42	PEL	female
HG02262	PEL43	PEL	male
HG02265	PEL44	PEL	male
HG02266	PEL44	PEL	female
HG02271	PEL46	PEL	male
HG02272	PEL46	PEL	female
HG02274	PEL47	PEL	male
HG02275	PEL47	PEL	female
HG02277	PEL48	PEL	male
HG02278	PEL48	PEL	female
HG02281	BB24	ACB	male
HG02282	BB24	ACB	female
HG02283	BB25	ACB	male
HG02284	BB26	ACB	male
HG02285	PEL49	PEL	male
HG02286	PEL49	PEL	female
HG02291	PEL51	PEL	male
HG02292	PEL51	PEL	female
HG02298	PEL52	PEL	female
HG02299	PEL52	PEL	male
HG02301	PEL53	PEL	female
HG02304	PEL54	PEL	male
HG02307	BB23	ACB	male
HG02308	BB23	ACB	female
HG02309	BB25	ACB	female
HG02312	PEL55	PEL	female
HG02314	BB22	ACB	male
HG02315	BB22	ACB	female
HG02317	BB27	ACB	male
HG02318	BB27	ACB	female
HG02322	BB28	ACB	female
HG02323	BB29	ACB	male
HG02325	BB30	ACB	female
HG02330	BB33	ACB	male
